Stock Name,Transaction Type,Amount,Politician,Transaction Date,Filing Date
"TXN


                        Texas Instruments Incorporated - Common Stock
                      

                        Stock Option",Sale (Partial),"$15,001 - $50,000","Tuberville, Tommy
                    

                      Senate / R","May. 11, 2023","Apr. 03, 2023"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Kevin Hern
                    

                      House / R","Mar. 15, 2023","Feb. 14, 2023"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Sale,"$1,001 - $15,000","Kevin Hern
                    

                      House / R","Feb. 14, 2023","Jan. 31, 2023"
"TXN


                        Texas Instruments Incorporated - Common Stock
                      

                        Stock Option",Sale (Partial),"$1,001 - $15,000","Tuberville, Tommy
                    

                      Senate / R","Feb. 14, 2023","Jan. 11, 2023"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Kevin Hern
                    

                      House / R","Dec. 08, 2022","Nov. 15, 2022"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$15,001 - $50,000","Carol Devine Miller
                    

                      House / R","Dec. 13, 2022","Nov. 11, 2022"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Kathy Manning
                    

                      House / D","Nov. 10, 2022","Oct. 12, 2022"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Kevin Hern
                    

                      House / R","Sep. 15, 2022","Aug. 16, 2022"
"TXN


                        THE ACCOUNT BEING ONE WHERE I DID NOT CONTROL SELECTIONS OR TRADES, I DID NOT NEED TO FILE PTRS. THAT GUIDANCE HAS SINCE CHANGED AND AM REPORTING PER NEW GUIDANCE TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Sale,"$1,001 - $15,000","Rick Larsen
                    

                      House / D","May. 26, 2023","Jul. 07, 2022"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Kevin Hern
                    

                      House / R","Jun. 14, 2022","May. 17, 2022"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Apr. 17, 2022","Mar. 31, 2022"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Lois Frankel
                    

                      House / D","Apr. 06, 2022","Mar. 09, 2022"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Sale,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Apr. 17, 2022","Mar. 07, 2022"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Sale,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Mar. 18, 2022","Feb. 23, 2022"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Kevin Hern
                    

                      House / R","Mar. 07, 2022","Feb. 07, 2022"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Aston Donald Mceachin
                    

                      House / D","Nov. 24, 2021","Nov. 24, 2021"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Kevin Hern
                    

                      House / R","Dec. 09, 2021","Nov. 15, 2021"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Sale,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Nov. 15, 2021","Oct. 29, 2021"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$250,001 - $500,000","Kevin Hern
                    

                      House / R","Sep. 15, 2021","Aug. 25, 2021"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Kevin Hern
                    

                      House / R","Sep. 15, 2021","Aug. 09, 2021"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$15,001 - $50,000","Carol Devine Miller
                    

                      House / R","Sep. 02, 2022","Jul. 28, 2021"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$100,001 - $250,000","Kevin Hern
                    

                      House / R","Sep. 15, 2021","Jul. 21, 2021"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Sale,"$1,001 - $15,000","John Curtis
                    

                      House / R","Jul. 06, 2021","Jun. 22, 2021"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Kevin Hern
                    

                      House / R","Jun. 15, 2021","May. 17, 2021"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Kevin Hern
                    

                      House / R","Mar. 15, 2021","Feb. 08, 2021"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Kevin Hern
                    

                      House / R","Dec. 14, 2020","Nov. 16, 2020"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","David E. Price
                    

                      House / D","Nov. 06, 2020","Oct. 26, 2020"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Oct. 13, 2020","Sep. 30, 2020"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Sale,"$15,001 - $50,000","Frank Pallone Jr.
                    

                      House / D","Oct. 20, 2020","Sep. 25, 2020"
"TXN


                        Texas Instruments Incorporated
                      

                        Stock",Sale (Full),"$1,001 - $15,000","Moran, Jerry
                    

                      Senate / R","Sep. 08, 2020","Aug. 21, 2020"
"TXN


                        Texas Instruments Incorporated
                      

                        Stock",Sale (Full),"$1,001 - $15,000","Moran, Jerry
                    

                      Senate / R","Sep. 08, 2020","Aug. 21, 2020"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Kevin Hern
                    

                      House / R","Sep. 15, 2020","Aug. 17, 2020"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Kevin Hern
                    

                      House / R","Aug. 15, 2020","Jul. 27, 2020"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Kevin Hern
                    

                      House / R","Jun. 16, 2020","May. 18, 2020"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","John Curtis
                    

                      House / R","Apr. 09, 2020","Mar. 27, 2020"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$100,001 - $250,000","Kevin Hern
                    

                      House / R","Apr. 16, 2020","Mar. 26, 2020"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Sale,"$1,001 - $15,000","Mikie Sherrill
                    

                      House / D","Apr. 05, 2020","Feb. 20, 2020"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Sale,"$1,001 - $15,000","Lois Frankel
                    

                      House / D","Feb. 24, 2020","Jan. 22, 2020"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Sale,$778.09,"Mikie Sherrill
                    

                      House / D","Jan. 03, 2020","Oct. 17, 2019"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Nov. 08, 2019","Oct. 16, 2019"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Kevin Hern
                    

                      House / R","Nov. 14, 2019","Oct. 15, 2019"
"TXN


                        Texas Instruments Incorporated
                      

                        Stock",Purchase,"$1,001 - $15,000","Moran, Jerry
                    

                      Senate / R","Oct. 21, 2019","Sep. 25, 2019"
"TXN


                        Texas Instruments Incorporated
                      

                        Stock",Purchase,"$1,001 - $15,000","Moran, Jerry
                    

                      Senate / R","Oct. 21, 2019","Sep. 25, 2019"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Sale,"$100,001 - $250,000","Bradley S. Schneider
                    

                      House / D","Jun. 21, 2019","Jun. 20, 2019"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Sale,"$15,001 - $50,000","Thomas Suozzi
                    

                      House / D","Sep. 23, 2021","Jun. 18, 2019"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","May. 20, 2019","Apr. 01, 2019"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Sale,"$1,001 - $15,000","Nicholas Van Taylor
                    

                      House / R","Apr. 15, 2019","Mar. 25, 2019"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Sale,"$1,001 - $15,000","Nicholas Van Taylor
                    

                      House / R","Apr. 15, 2019","Mar. 25, 2019"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Sale,"$1,001 - $15,000","Bill Flores
                    

                      House / R","Apr. 04, 2019","Mar. 22, 2019"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Thomas Suozzi
                    

                      House / D","Sep. 23, 2021","Mar. 05, 2019"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$15,001 - $50,000","Greg Gianforte
                    

                      House / R","Jan. 23, 2019","Dec. 21, 2018"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Jan. 04, 2019","Dec. 18, 2018"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Jan. 04, 2019","Dec. 10, 2018"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Dec. 13, 2018","Nov. 27, 2018"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","John A. Yarmuth
                    

                      House / D","Dec. 27, 2018","Nov. 26, 2018"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Dec. 06, 2018","Nov. 19, 2018"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Sale,"$1,001 - $15,000","Zoe Lofgren
                    

                      House / D","Dec. 14, 2018","Nov. 02, 2018"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Sale,"$100,001 - $250,000","Bradley S. Schneider
                    

                      House / D","Oct. 08, 2018","Sep. 26, 2018"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Lois Frankel
                    

                      House / D","Sep. 25, 2018","Sep. 12, 2018"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Sep. 23, 2018","Aug. 13, 2018"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Jun. 05, 2018","May. 21, 2018"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Sale,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Jun. 05, 2018","May. 11, 2018"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Sale,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","May. 10, 2018","Apr. 17, 2018"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Mar. 07, 2018","Feb. 12, 2018"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","David E. Price
                    

                      House / D","Jan. 30, 2018","Jan. 23, 2018"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Sale,"$1,001 - $15,000","Thomas J. Rooney
                    

                      House / R","Feb. 15, 2018","Jan. 12, 2018"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Sale,"$1,001 - $15,000","Lamar Smith
                    

                      House / R","Feb. 14, 2018","Jan. 11, 2018"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","David E. Price
                    

                      House / D","Dec. 08, 2017","Nov. 24, 2017"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Dec. 07, 2017","Nov. 13, 2017"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$50,001 - $100,000","Bradley S. Schneider
                    

                      House / D","Sep. 24, 2017","Sep. 22, 2017"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$100,001 - $250,000","Bradley S. Schneider
                    

                      House / D","Sep. 24, 2017","Sep. 22, 2017"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Sale,"$1,001 - $15,000","Lois Frankel
                    

                      House / D","Nov. 03, 2017","Sep. 20, 2017"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        ST",Purchase,"$1,001 - $15,000","Thomas Suozzi
                    

                      House / D","Sep. 23, 2021","Aug. 17, 2017"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Sep. 07, 2017","Aug. 14, 2017"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Sale,"$15,001 - $50,000","Thomas Macarthur
                    

                      House / R","Aug. 03, 2017","Jul. 28, 2017"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Sale,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Aug. 03, 2017","Jul. 28, 2017"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas J. Rooney
                    

                      House / R","Jul. 14, 2017","Jun. 14, 2017"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Sale,"$1,001 - $15,000","Lois Frankel
                    

                      House / D","Jun. 22, 2017","May. 17, 2017"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Jun. 17, 2017","May. 15, 2017"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Sale,"$1,001 - $15,000","Thomas J. Rooney
                    

                      House / R","Jun. 14, 2017","May. 15, 2017"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Sale,"$1,001 - $15,000","Lois Frankel
                    

                      House / D","May. 31, 2017","May. 01, 2017"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Sale,"$1,001 - $15,000","Lamar Smith
                    

                      House / R","Apr. 10, 2017","Mar. 28, 2017"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Mar. 02, 2017","Feb. 13, 2017"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Sale,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Feb. 08, 2017","Jan. 12, 2017"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$15,001 - $50,000","Thomas J. Rooney
                    

                      House / R","Jan. 24, 2017","Dec. 12, 2016"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Dec. 02, 2016","Nov. 21, 2016"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Sale,"$15,001 - $50,000","Thomas Macarthur
                    

                      House / R","Nov. 07, 2016","Sep. 13, 2016"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Sale,"$1,001 - $15,000","K. Michael Conaway
                    

                      House / R","Oct. 12, 2016","Sep. 12, 2016"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Sale,"$1,001 - $15,000","Lamar Smith
                    

                      House / R","Sep. 12, 2016","Aug. 17, 2016"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Jul. 08, 2016","Jun. 13, 2016"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Jul. 08, 2016","Jun. 13, 2016"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Jul. 08, 2016","Jun. 13, 2016"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas J. Rooney
                    

                      House / R","Jan. 16, 2017","Jun. 02, 2016"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Lois Frankel
                    

                      House / D","Jun. 28, 2016","Jun. 01, 2016"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","May. 09, 2016","Apr. 04, 2016"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","May. 09, 2016","Apr. 04, 2016"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$15,001 - $50,000","Thomas Macarthur
                    

                      House / R","May. 09, 2016","Apr. 04, 2016"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas J. Rooney
                    

                      House / R","Jan. 16, 2017","Mar. 03, 2016"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Sale,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Mar. 03, 2016","Feb. 12, 2016"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Sale,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Mar. 03, 2016","Feb. 12, 2016"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas J. Rooney
                    

                      House / R","Jan. 16, 2017","Feb. 10, 2016"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Mar. 03, 2016","Feb. 09, 2016"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Lois Frankel
                    

                      House / D","Jan. 28, 2016","Jan. 06, 2016"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Sale,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Jan. 06, 2016","Dec. 29, 2015"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Sale,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Dec. 06, 2015","Nov. 20, 2015"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Sale,"$15,001 - $50,000","Katherine M. Clark
                    

                      House / D","Dec. 08, 2015","Nov. 18, 2015"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas J. Rooney
                    

                      House / R","Jan. 16, 2017","Nov. 12, 2015"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas J. Rooney
                    

                      House / R","Jan. 16, 2017","Oct. 15, 2015"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Lamar Smith
                    

                      House / R","May. 10, 2016","Sep. 03, 2015"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Sep. 08, 2015","Aug. 10, 2015"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$1,001 - $15,000","Thomas Macarthur
                    

                      House / R","Sep. 08, 2015","Aug. 10, 2015"
"TXN


                        TEXAS INSTRUMENTS INCORPORATED
                      

                        None",Purchase,"$100,001 - $250,000","Thomas Macarthur
                    

                      House / R","Sep. 08, 2015","Aug. 10, 2015"
"TXN


                        Texas Instruments Inc. (NASDAQ)
                      

                        None",Sale (Full),"$1,001 - $15,000","Collins, Susan M.
                    

                      Senate / R","Dec. 01, 2014","Nov. 10, 2014"
